# Rime user dictionary
#@/db_name	luna_pinyin_simp
#@/db_type	userdb
#@/rime_version	1.6.1
#@/tick	44474
#@/user_id	ArchLinux
a 	啊	c=9 d=1 t=42959
jie zhu 	藉助	c=2 d=1.01271 t=13704
jie zou 	節奏	c=1 d=1 t=26044
jin 	仅	c=1 d=1 t=25817
jin 	进	c=4 d=1 t=22270
jin 	金	c=4 d=2.18719 t=20222
jin cheng 	進程	c=47 d=1.00084 t=39432
jin du 	進度	c=3 d=1 t=32679
jin jie 	進階	c=2 d=1 t=42594
jin jin 	僅僅	c=1 d=1 t=21439
jin jin 	津津	c=25 d=3.49134 t=27168
jin ke neng 	儘可能	c=2 d=1 t=12806
jin kuai 	儘快	c=2 d=1 t=44100
jin lai 	進來	c=1 d=1 t=1557
jin liang 	儘量	c=7 d=1.14808 t=44273
jin nian 	今年	c=1 d=1 t=35093
jin qin 	近親	c=1 d=1 t=31834
jin qu 	進去	c=9 d=0.100006 t=42402
jin ru 	進入	c=2 d=0.980199 t=44474
jin shen 	謹慎	c=3 d=1.00001 t=33441
jin shi 	近視	c=1 d=1 t=6003
jin shu 	金屬	c=1 d=1 t=3611
jin tian 	今天	c=68 d=1.21776 t=43870
jin wan 	今晚	c=4 d=1.97531 t=29892
jin xing 	進行	c=24 d=1.04432 t=29025
jin yi bu 	進一步	c=4 d=1 t=42626
jin yong 	禁用	c=1 d=1 t=1060
jin zhan 	進展	c=5 d=1.91393 t=32190
jin zhang 	緊張	c=10 d=1.05182 t=42202
jin zi ta 	金字塔	c=1 d=1 t=8002
jing chang 	經常	c=7 d=1.65051 t=39607
jing dong 	京東	c=1 d=1 t=26437
jing du 	精度	c=42 d=1 t=42630
jing ji 	經濟	c=1 d=1 t=13120
jing jia 	競價	c=1 d=1 t=3822
jing jian 	精簡	c=5 d=1.55711 t=37975
jing jing 	靜靜	c=1 d=1 t=42991
jing li 	精力	c=1 d=1 t=31557
jing li 	經理	c=2 d=1 t=31607
jing que 	精確	c=1 d=1 t=14658
jing ran 	竟然	c=4 d=1 t=40697
jing shen 	精神	c=1 d=1 t=35672
jing tai 	靜態	c=18 d=2.56628 t=44354
jing tai ku 	靜態库	c=6 d=1.02381 t=35603
jing xiang 	鏡像	c=9 d=1 t=43780
jing yan 	經驗	c=7 d=1.02124 t=28896
jing yi qiu jing 	精益求精	c=1 d=1 t=38004
jing yuan 	晶圓	c=1 d=1 t=16994
jing zheng 	競爭	c=5 d=1 t=44114
jiu 	久	c=3 d=1 t=15718
jiu 	九	c=3 d=1.64399 t=8049
jiu 	就	c=251 d=2.05902 t=44434
jiu bu xu yao 	就不需要	c=1 d=1 t=29116
jiu dian 	酒店	c=7 d=1.96561 t=43066
jiu gei ni 	就給你	c=1 d=1 t=27799
jiu hao 	就好	c=13 d=1.00001 t=44098
jiu hao le 	就好了	c=1 d=1 t=38383
jiu hui 	就會	c=4 d=1 t=41969
jiu jie 	糾結	c=2 d=1 t=38714
jiu ke yi 	就可以	c=21 d=1.00122 t=43727
jiu mei 	就沒	c=1 d=1 t=18267
jiu mei you 	就沒有	c=2 d=1 t=41056
jiu neng 	就能	c=1 d=1 t=40765
jiu shi 	就是	c=77 d=1.04507 t=44052
jiu shi ge 	就是個	c=1 d=1 t=29238
jiu shi sui 	九十岁	c=1 d=1 t=4743
jiu suan 	就算	c=3 d=1 t=41593
jiu xing 	就行	c=7 d=1 t=42319
jiu yao 	就要	c=3 d=1 t=41986
jiu you 	就有	c=3 d=1 t=38397
jiu zai 	就在	c=4 d=1.00019 t=34633
jiu zhi dao 	就知道	c=1 d=1 t=29229
ju 	具	c=1 d=1 t=12540
ju 	炬	c=2 d=1.96561 t=287
ju bian 	聚變	c=1 d=1 t=32542
ju bing 	句柄	c=1 d=1 t=39101
ju bu 	局部	c=2 d=1.72979 t=14223
ju can 	聚餐	c=2 d=1.93707 t=42903
ju ge 	舉個	c=1 d=1 t=19405
ju hua 	菊花	c=1 d=1 t=26445
ju lei 	聚類	c=1 d=1 t=36919
ju li 	舉例	c=2 d=1 t=28982
ju li 	距離	c=1 d=1 t=1420
ju min 	居民	c=1 d=1 t=785
ju ren 	舉人	c=1 d=1 t=34420
ju shuo 	據說	c=8 d=1.72253 t=35174
ju ti 	具體	c=16 d=1.0006 t=36460
ju ti de 	具體的	c=1 d=1 t=28030
ju zhen 	矩陣	c=16 d=1 t=39940
juan 	卷	c=1 d=1 t=28569
jue 	掘	c=1 d=1 t=19822
jue ce 	決策	c=1 d=1 t=23372
jue ce shu 	決策樹	c=7 d=1 t=31153
jue de 	覺得	c=14 d=1.00002 t=43541
jue ding 	決定	c=1 d=1 t=13986
jue dui 	絕對	c=6 d=1 t=36981
jue dui zhi 	絕對值	c=1 d=1 t=14218
jun 	军	c=2 d=1 t=33433
jun 	君	c=2 d=1.22313 t=5890
jun 	均	c=1 d=1 t=32012
jun gong 	軍工	c=2 d=1.86936 t=33448
jun heng 	均衡	c=1 d=1 t=41790
jun jia 	均價	c=1 d=1 t=32009
jun neng 	均能	c=1 d=1 t=25805
ka 	卡	c=23 d=1.15135 t=43723
ka dun 	卡顿	c=10 d=2.89732 t=44474
ka fei 	咖啡	c=1 d=1 t=39390
ka zai 	卡在	c=2 d=1 t=44059
ka zhu 	卡住	c=24 d=2.97521 t=41478
kai 	凯	c=10 d=2.16251 t=7648
kai 	开	c=34 d=1.8885 t=43479
kai dao 	開到	c=1 d=1 t=25041
kai fa 	開發	c=59 d=1.28416 t=44254
kai fa zhe 	開發者	c=6 d=1 t=25782
kai fang 	開放	c=1 d=1 t=5332
kai ge 	開個	c=7 d=1.00047 t=43255
kai ge hui 	開個会	c=1 d=1 t=32181
kai gong 	開工	c=1 d=1 t=20495
kai guan 	開關	c=1 d=1 t=28719
kai hui 	開會	c=2 d=1 t=40463
kai ji 	開機	c=1 d=1 t=43002
kai le 	開了	c=13 d=2.03717 t=43630
kai li 	凱利	c=2 d=1 t=32845
kai liu 	開溜	c=3 d=1 t=41047
kai qi 	開啓	c=3 d=1 t=43217
kai shi 	開始	c=15 d=1 t=39641
kai tou 	开头	c=3 d=1.00767 t=31309
kai xiao 	開銷	c=7 d=4.57231 t=27065
kai xuan 	凱旋	c=1 d=1 t=32288
kai yi ge 	开一個	c=1 d=1 t=7949
kai yi xia 	开一下	c=1 d=1 t=6216
kai yuan 	開源	c=2 d=1 t=43194
kai zhe 	開着	c=2 d=1.75957 t=41647
kan 	看	c=126 d=1.43092 t=43332
kan ba 	看吧	c=1 d=1 t=43198
kan bu chu 	看不出	c=1 d=1 t=36603
kan bu chu lai 	看不出來	c=2 d=1.96079 t=37712
kan bu dao 	看不到	c=3 d=1 t=22510
kan bu dong 	看不懂	c=3 d=1 t=35131
kan bu shang 	看不上	c=1 d=1 t=13032
kan bu tai 	看不太	c=1 d=1 t=39339
kan chu 	看出	c=2 d=1 t=38165
kan cuo le 	看錯了	c=2 d=1.00005 t=10916
kan dai 	看待	c=1 d=1 t=35276
kan dai ma 	看代碼	c=2 d=1 t=37546
kan dao 	看到	c=8 d=1.00003 t=27314
kan dao le 	看到勒	c=1 d=1 t=38976
kan de 	看的	c=3 d=1.92774 t=10933
kan dian 	看點	c=1 d=1 t=28621
kan dong 	看懂	c=1 d=1 t=17104
kan ge 	看個	c=1 d=1 t=23227
kan guo 	看過	c=1 d=1 t=31705
kan hu 	看護	c=1 d=1 t=37864
kan jian 	看見	c=1 d=1 t=38853
kan kan 	看看	c=155 d=1.64027 t=44391
kan kan qing chu 	看看清楚	c=1 d=1 t=3430
kan lai 	看來	c=2 d=1 t=41050
kan le 	看了	c=20 d=1.02342 t=40309
kan ni 	看你	c=1 d=1 t=36821
kan qi lai 	看起來	c=9 d=1 t=43577
kan shu 	看書	c=1 d=1 t=23876
kan ta 	看他	c=2 d=1 t=39901
kan wo 	看我	c=1 d=1 t=27288
kan xi 	看戲	c=2 d=1.93707 t=16654
kan yi xia 	看一下	c=36 d=1.00024 t=41159
kan you 	堪憂	c=2 d=1 t=39328
kan yuan ma 	看源码	c=1 d=1 t=22492
kan zhe 	看着	c=3 d=1 t=42043
kang feng xian 	抗风险	c=1 d=1 t=15597
kang la 	康拉	c=1 d=1 t=25
kang you 	康友	c=1 d=1 t=32256
kao 	靠	c=2 d=1 t=19462
kao bei 	拷贝	c=17 d=1 t=43967
kao hou 	靠後	c=1 d=1 t=41147
kao lv 	考慮	c=23 d=1 t=40752
kao pu 	靠譜	c=5 d=1 t=38247
kao rou 	烤肉	c=1 d=1 t=40898
ke 	可	c=9 d=1 t=44427
ke 	科	c=17 d=1 t=43507
ke ai 	可愛	c=1 d=1 t=1079
ke bian 	可變	c=1 d=1 t=38524
ke bu shi 	可不是	c=1 d=1 t=31621
ke du 	可讀	c=1 d=1 t=42039
ke du xing 	可讀性	c=1 d=1 t=29269
ke er 	科爾	c=1 d=1 t=1087
ke hu 	客戶	c=26 d=2.30366 t=42873
ke hu duan 	客戶端	c=2 d=1.00001 t=6937
ke ji 	科技	c=8 d=1 t=39591
ke kao 	可靠	c=3 d=1 t=32435
ke ke 	苛刻	c=1 d=1 t=7617
ke kong 	可控	c=1 d=1 t=40743
ke long 	克隆	c=6 d=2.64056 t=16544
ke mu 	科目	c=0 d=0.1 t=21212
ke mu yi 	科目一	c=3 d=1 t=25730
ke neng 	可能	c=90 d=1.30691 t=44091
ke neng shi 	可能是	c=1 d=1 t=7711
ke pa 	可怕	c=3 d=1.00304 t=41842
ke qi 	客氣	c=13 d=1 t=42919
ke xuan 	可選	c=4 d=1 t=42640
ke yi 	可以	c=506 d=2.81856 t=44082
ke yi de 	可以的	c=2 d=1 t=11168
ke yong 	可用	c=7 d=1.91851 t=29807
ke zhi xing 	可執行	c=10 d=4.88325 t=42728
ke zi 	壳子	c=1 d=1 t=21821
ken di 	墾地	c=2 d=1 t=20044
ken ding 	肯定	c=15 d=1.00297 t=40785
ken en 	肯恩	c=1 d=1 t=17759
keng 	坑	c=5 d=1.82283 t=33804
keng neng 	坑能	c=1 d=1 t=13284
kong 	控	c=2 d=1 t=42958
kong 	空	c=8 d=1.00231 t=39852
kong bu 	恐怖	c=1 d=1 t=22745
kong cang 	空倉	c=2 d=1.93707 t=16653
kong ge 	空格	c=3 d=1 t=14268
kong gu 	控股	c=4 d=2.03044 t=6106
kong jian 	空間	c=22 d=1.97045 t=43911
kong jian zhong 	空間中	c=1 d=1 t=13621
kong ke 	空壳	c=1 d=1 t=20416
kong qi 	空氣	c=1 d=1 t=15514
kong qian 	空前	c=1 d=1 t=33650
kong tiao 	空調	c=2 d=1 t=40890
kong zhi 	控制	c=7 d=1 t=19670
kou 	口	c=1 d=1 t=41259
kou fen 	扣分	c=1 d=1 t=20361
kou gan 	口感	c=1 d=1 t=7516
ku 	哭	c=1 d=1 t=38736
ku 	库	c=53 d=1.0293 t=43184
ku sang 	哭喪	c=6 d=1 t=22607
ku shang 	哭上	c=2 d=1.05448 t=23822
kua 	跨	c=2 d=1 t=38755
kua ping tai 	跨平臺	c=1 d=1 t=10520
kuai 	块	c=14 d=1 t=34170
kuai 	快	c=12 d=1 t=41744
kuai bao 	快報	c=1 d=1 t=10612
kuai chong 	快衝	c=1 d=1 t=3173
kuai di 	快遞	c=1 d=1 t=41257
kuai dian 	快點	c=1 d=1 t=40227
kuai jie 	快捷	c=1 d=1 t=10274
kuai jie jian 	快捷鍵	c=3 d=1 t=6832
kuai lai 	快來	c=1 d=1 t=31047
kuai su 	快速	c=9 d=1.16284 t=32392
kuai zhao 	快照	c=3 d=1 t=42104
kuan 	宽	c=8 d=1 t=44138
kuang 	框	c=1 d=1 t=37074
kuang jia 	框架	c=57 d=1.79453 t=39856
kuang xi 	狂喜	c=1 d=1 t=15313
kui qian 	虧錢	c=1 d=1 t=31562
kun 	鲲	c=1 d=1 t=5599
kun lun 	崑崙	c=1 d=1 t=1085
kun nan 	困難	c=8 d=1 t=44463
kun rao 	困擾	c=2 d=1 t=36572
kuo 	扩	c=1 d=1 t=33251
kuo chong 	擴充	c=1 d=1 t=14262
kuo rong 	擴容	c=4 d=1.00271 t=43314
kuo zhan 	擴展	c=2 d=1.81873 t=16750
la 	啦	c=2 d=1.26847 t=40178
la 	拉	c=20 d=1.3792 t=39049
la de 	拉的	c=2 d=1 t=18516
la ji 	垃圾	c=6 d=1 t=40453
la kua 	拉跨	c=1 d=1 t=8903
la ni 	拉你	c=2 d=1.93707 t=12050
la qu 	拉去	c=1 d=1 t=17192
la qu 	拉取	c=2 d=1.01682 t=18741
la wo 	拉我	c=1 d=1 t=25346
la xia lai 	拉下來	c=2 d=1.01253 t=6228
lai 	来	c=195 d=2.56242 t=44357
lai 	莱	c=11 d=2.62603 t=8251
lai de 	來的	c=1 d=1 t=2763
lai kan 	來看	c=1 d=1 t=13194
lai le 	來了	c=6 d=1.00002 t=43548
lai shuo 	來說	c=1 d=1 t=15837
lai zhe 	來着	c=1 d=1 t=3030
lan 	兰	c=1 d=1 t=6103
lan 	蓝	c=1 d=1 t=7756
lan de 	懶得	c=3 d=1 t=35014
lan jie 	攔截	c=2 d=1 t=26224
lan jie qi 	拦截器	c=1 d=1 t=26236
lan se 	藍色	c=1 d=1 t=21618
lao 	佬	c=4 d=1.2215 t=34097
lao 	老	c=21 d=1 t=43428
lao ban 	老闆	c=6 d=1.04084 t=3383
lao ban ben 	老版本	c=3 d=1 t=39609
lao dai ma 	老代碼	c=1 d=1 t=7339
lao de 	老的	c=7 d=1 t=39732
lao ge 	老哥	c=2 d=1 t=43879
lao ge 	老歌	c=1 d=1 t=25165
lao hu 	老虎	c=1 d=1 t=32766
lao jiao 	老窖	c=1 d=1 t=7670
lao mei 	老美	c=1 d=1 t=16293
lao shi 	老師	c=50 d=2.43448 t=40922
lao shi 	老是	c=2 d=1 t=27395
le 	乐	c=1 d=1 t=32978
le 	了	c=976 d=2.2508 t=44474
le ma 	了嗎	c=1 d=1 t=22923
le qu 	樂趣	c=1 d=1 t=5814
lei 	磊	c=1 d=1 t=13131
lei 	类	c=18 d=1 t=41165
lei 	累	c=1 d=1 t=35071
lei 	雷	c=11 d=1 t=44439
lei jia 	累加	c=4 d=1.00066 t=39424
lei le 	累了	c=1 d=1 t=40850
lei shi 	類似	c=11 d=1.00107 t=21941
lei xing 	類型	c=10 d=1.32753 t=41395
leng 	冷	c=2 d=1 t=40892
li 	丽	c=30 d=1 t=42498
li 	利	c=2 d=1 t=38251
li 	力	c=1 d=1 t=15598
li 	李	c=2 d=1 t=9053
li 	理	c=2 d=1 t=35169
li 	离	c=2 d=1.98511 t=32219
li 	里	c=4 d=1.00265 t=30070
li du 	粒度	c=1 d=1 t=41143
li gong 	理工	c=1 d=1 t=3764
li hai 	厲害	c=5 d=1 t=37584
li ji 	立即	c=1 d=1 t=11601
li jie 	理解	c=29 d=1 t=42395
li lun 	理論	c=5 d=1.76048 t=40607
li mi 	釐米	c=1 d=1 t=5093
li mian 	裏面	c=220 d=1.28678 t=44171
li pu 	離譜	c=1 d=1 t=43339
li qun 	離羣	c=0 d=0.1 t=31419
li qun dian 	離羣点	c=1 d=1 t=31420
li shi 	歷史	c=5 d=1.90937 t=28860
li shi yi liu 	歷史遺留	c=1 d=1 t=36895
li ta 	理他	c=1 d=1 t=25357
li xiang 	理想	c=3 d=1 t=39180
li xing 	例行	c=1 d=1 t=15054
li xun 	立讯	c=3 d=2.91683 t=7464
li yong 	利用	c=4 d=1 t=11301
li yong lv 	利用率	c=3 d=1.35345 t=37680
li yu 	利於	c=1 d=1 t=19446
li zi 	例子	c=62 d=1.3429 t=39541
lia 	俩	c=1 d=1 t=16605
lian 	脸	c=1 d=1 t=31568
lian 	连	c=8 d=1.48191 t=34564
lian biao 	鏈表	c=1 d=1 t=633
lian bu shang 	連不上	c=2 d=1 t=42985
lian he 	聯合	c=48 d=1.75836 t=42499
lian jie 	連接	c=3 d=1.00221 t=35309
lian jie 	鏈接	c=23 d=1.7827 t=44355
lian min 	憐憫	c=3 d=2.8696 t=41538
lian ren 	恋人	c=1 d=1 t=35443
lian suo fan ying 	連鎖反應	c=1 d=1 t=15264
lian xi 	聯繫	c=2 d=1 t=30775
lian xu 	連續	c=3 d=2.88544 t=14698
liang 	两	c=2 d=1 t=34284
liang 	良	c=1 d=1 t=35455
liang 	量	c=13 d=1.00942 t=41030
liang bian 	兩邊	c=7 d=1 t=31193
liang ci 	兩次	c=3 d=1 t=31715
liang ge 	兩個	c=51 d=1.03335 t=44120
liang hao 	良好	c=2 d=1.90484 t=10197
liang hua 	量化	c=16 d=1 t=38499
liang ju 	兩句	c=2 d=1.00038 t=8446
liang kuai 	兩塊	c=2 d=1.00413 t=32119
liang tai 	兩臺	c=2 d=1.90484 t=32134
liang tao 	兩套	c=1 d=1 t=30197
liang tian 	兩天	c=6 d=1 t=43406
liang zhang 	兩張	c=1 d=1 t=31897
liang zhong 	兩種	c=1 d=1 t=29760
liang zhou 	兩週	c=5 d=1.01025 t=25742
liao 	了	c=1 d=1 t=15784
liao 	撩	c=1 d=1 t=35680
liao 	聊	c=7 d=1 t=39165
liao jie 	瞭解	c=9 d=1 t=43038
liao tian 	聊天	c=1 d=1 t=6930
lie 	列	c=5 d=1 t=38762
lie biao 	列表	c=4 d=1 t=42746
lin jin 	鄰近	c=1 d=1 t=2111
lin ken 	林肯	c=0 d=0.1 t=16240
lin shi 	臨時	c=2 d=1 t=20311
ling 	瓴	c=1 d=1 t=13128
ling 	零	c=2 d=1 t=38778
ling dao 	領導	c=3 d=1 t=30699
ling huo 	靈活	c=2 d=1.8781 t=37291
ling huo xing 	靈活性	c=1 d=1 t=13186
ling yu 	領域	c=1 d=1 t=12551
liu 	刘	c=4 d=1.00001 t=43514
liu 	流	c=1 d=1.00051 t=38522
liu cheng 	流程	c=30 d=1.00072 t=40571
liu gei ni 	留給你	c=1 d=1 t=21614
liu lan qi 	瀏覽器	c=1 d=1 t=35419
liu shui xian 	流水線	c=5 d=1 t=30510
liu xia 	留下	c=2 d=1 t=18131
liu xing 	流行	c=1 d=1 t=10419
liu you 	流油	c=1 d=1 t=39414
liu zai 	留在	c=1 d=1 t=22631
lo 	咯	c=1 d=1 t=41881
long ji 	隆基	c=3 d=2.69474 t=7215
lou 	楼	c=1 d=1 t=15693
lou 	漏	c=1 d=1 t=7126
lou dong 	漏洞	c=1 d=1 t=25181
lou xia 	樓下	c=1 d=1 t=26944
lu 	撸	c=2 d=1.00004 t=41765
lu 	鹿	c=1 d=0.1 t=32065
lu chuan 	撸串	c=3 d=1 t=26884
lu dai ma 	鹿代碼	c=1 d=1 t=32066
lu jing 	路徑	c=13 d=2.65016 t=42733
lu tou 	路透	c=1 d=1 t=38987
lu tou she 	路透社	c=9 d=1.00152 t=43177
lu zhou 	瀘州	c=2 d=1.03508 t=7669
luan 	乱	c=1 d=1 t=26244
luan le 	亂了	c=1 d=1 t=37206
luan ma 	亂碼	c=1 d=1 t=20558
luan qi ba zao 	亂七八糟	c=1 d=1.00001 t=33162
luan qi ba zao de 	亂七八糟的	c=1 d=1 t=31349
lun wen 	論文	c=3 d=1.15231 t=14367
lun wen zhong de 	論文中的	c=1 d=1 t=12820
lun xun 	輪詢	c=1 d=1 t=40738
luo 	罗	c=2 d=1.73712 t=36034
luo hou 	落後	c=3 d=1 t=44110
luo ji 	邏輯	c=15 d=1.02208 t=44074
luo sang 	洛桑	c=1 d=1 t=3763
luo suo 	羅嗦	c=1 d=1 t=36846
lv 	率	c=4 d=1 t=14275
lv 	铝	c=1 d=1 t=32028
lv lv 	縷縷	c=1 d=1 t=31138
ma 	吗	c=191 d=1.99464 t=43988
ma 	嘛	c=25 d=1.9513 t=43094
ma 	码	c=3 d=1 t=39758
ma 	马	c=7 d=1 t=34278
ma 	骂	c=1 d=1 t=39231
ma 	麻	c=1 d=1 t=35139
ma fan 	麻煩	c=31 d=1.00034 t=42798
ma fan de 	麻煩的	c=1 d=1 t=41664
ma jia 	馬甲	c=1 d=1 t=38791
ma mu 	麻木	c=2 d=1.00003 t=35136
ma shang 	馬上	c=16 d=1.99501 t=39525
ma ti mu 	吗題目	c=1 d=1 t=28096
ma yun 	馬雲	c=1 d=1 t=10620
ma zu chang 	马祖常	c=1 d=1 t=34290
mai 	买	c=7 d=1.00027 t=43046
mai 	卖	c=1 d=1 t=15691
mai che 	買車	c=1 d=1 t=35026
mai chu 	賣出	c=1 d=1 t=35490
mai de 	買的	c=1 d=1 t=33416
mai dian 	買點	c=3 d=1 t=41823
mai le 	買了	c=2 d=1.19989 t=42137
mai le 	賣了	c=1 d=1 t=15614
mai rui 	迈瑞	c=8 d=2.16036 t=11163
man 	慢	c=6 d=1 t=43874
man 	满	c=3 d=1.86936 t=34043
man hao 	蠻好	c=2 d=1 t=33852
man kuai 	蠻快	c=1 d=1 t=43917
man man 	慢慢	c=1 d=1 t=7981
man xing 	慢性	c=1 d=1 t=41240
man zu 	滿足	c=5 d=1 t=33628
mang 	忙	c=5 d=1 t=36854
mang bu guo lai 	忙不過來	c=1 d=1 t=31330
mang guo 	芒果	c=4 d=1.71892 t=15667
mao 	毛	c=3 d=1 t=33035
mao 	貌	c=1 d=1 t=29488
mao 	锚	c=1 d=1 t=28275
mao bing 	毛病	c=4 d=1.10487 t=38166
mao dun 	矛盾	c=2 d=1 t=36378
mao si 	貌似	c=1 d=1 t=6131
mao tai 	茅臺	c=2 d=1.94649 t=13033
mao yan 	冒煙	c=2 d=1.99005 t=27324
me 	么	c=1 d=1 t=16812
me ge 	么个	c=1 d=1 t=30081
mei 	每	c=6 d=1 t=39141
mei 	没	c=167 d=2.76582 t=44063
mei 	美	c=1 d=1 t=26434
mei ban fa 	沒辦法	c=4 d=0.1 t=41962
mei ban fa de 	沒辦法的	c=1 d=1 t=41963
mei bi yao 	沒必要	c=8 d=1 t=39055
mei cha bie 	没差別	c=1 d=1 t=38315
mei che 	沒車	c=1 d=1 t=39935
mei chi 	沒喫	c=1 d=1 t=9966
mei ci 	每次	c=15 d=1.00427 t=40873
mei cuo 	沒錯	c=2 d=1 t=18732
mei dao 	沒到	c=1 d=1 t=30757
mei dong 	沒動	c=1 d=1 t=9352
mei fa 	沒法	c=28 d=1.16337 t=43634
mei ge 	每個	c=4 d=1.00323 t=40578
mei ge ren 	每個人	c=1 d=0.955997 t=44474
mei gei ta 	没給他	c=1 d=1 t=25477
mei gu 	美股	c=4 d=1 t=31555
mei guan 	美觀	c=1 d=1 t=4624
mei guan xi 	沒關係	c=2 d=1.47951 t=28365
mei guo 	沒過	c=1 d=1 t=44036
mei guo 	美國	c=9 d=1.00865 t=43883
mei hui 	沒回	c=0 d=0.1 t=23152
mei hui wo 	沒回我	c=1 d=1 t=23153
mei kan 	沒看	c=0 d=0.1 t=2385
mei kan chu 	沒看出	c=2 d=1 t=20874
mei kan dao 	沒看到	c=2 d=1 t=27204
mei kong 	沒空	c=1 d=1 t=740
mei le 	沒了	c=6 d=1.00141 t=22038
mei nv 	美女	c=1 d=1 t=16221
mei pao dao 	没跑到	c=1 d=1 t=20441
mei peng 	没碰	c=1 d=1 t=13276
mei ren 	沒人	c=4 d=1.0002 t=36964
mei ren 	美人	c=1 d=1 t=34280
mei ren zhu 	沒人住	c=1 d=1 t=15233
mei ri 	每日	c=1 d=1 t=37863
mei sha 	沒啥	c=23 d=1.21733 t=43592
mei sheng ji 	没升級	c=1 d=1 t=21517
mei shi 	沒事	c=44 d=1.00304 t=43381
mei tai da 	没太大	c=3 d=1 t=35395
mei tai duo 	没太多	c=1 d=1 t=34743
mei tian 	每天	c=5 d=1.96561 t=33856
mei wen ti 	沒問題	c=13 d=1 t=44012
mei xi 	沒戲	c=1 d=1 t=15489
mei xin qu 	没心去	c=1 d=1 t=33866
mei xiu fu 	没修復	c=1 d=1 t=17013
mei yi 	每一	c=0 d=0.1 t=11585
mei yi ci 	每一次	c=1 d=1 t=13954
mei yi ge 	每一個	c=20 d=1.24051 t=29625
mei yi hang 	每一行	c=2 d=1.00905 t=12527
mei yi wu 	没義務	c=1 d=1 t=30057
mei yong 	沒用	c=15 d=1.00012 t=38826
mei yong guo 	沒用過	c=2 d=1.00157 t=2314
mei you 	沒有	c=73 d=1.16755 t=43327
mei yu dao 	沒遇到	c=1 d=1 t=4208
mei zhe 	沒轍	c=1 d=1 t=29361
mei zhe ge 	没這個	c=1 d=1 t=21769
mei zi 	妹子	c=4 d=1 t=40914
mei zuo 	沒做	c=1 d=1 t=18227
men 	们	c=22 d=1.00044 t=43698
men kan 	門檻	c=3 d=1.98569 t=35223
men kou 	門口	c=1 d=1 t=36220
meng bi 	矇蔽	c=1 d=1 t=13145
meng te ka luo 	蒙特卡羅	c=1 d=1 t=33397
mi 	迷	c=1 d=1 t=1044
mi hu 	迷糊	c=1 d=1 t=31063
mi ma 	密碼	c=64 d=1.76347 t=43808
mi yao 	密鑰	c=4 d=1.08291 t=42214
mian 	面	c=2 d=1 t=17142
mian de 	免得	c=2 d=1 t=36568
mian dian 	緬甸	c=1 d=1 t=7458
mian fei 	免費	c=2 d=1 t=39389
mian lin 	面臨	c=3 d=1.32792 t=28884
mian qian 	面前	c=1 d=1 t=25244
mian qiang 	勉強	c=1 d=1 t=15505
mian shi 	面試	c=4 d=1 t=41336
mian xiang 	面向	c=1 d=1 t=29764
miao shu 	描述	c=9 d=1.9802 t=19320
miao shu fu 	描述符	c=6 d=2.97025 t=25928
min 	民	c=1 d=1 t=15583
min gan 	敏感	c=1 d=0.1 t=36580
min guo 	民國	c=1 d=1 t=6242
min xing qu 	閔行區	c=1 d=1 t=42886
ming 	名	c=14 d=1.03191 t=44179
ming 	明	c=26 d=3.42961 t=44337
ming bai 	明白	c=8 d=1.00052 t=44005
ming bai de 	明白的	c=1 d=1 t=20864
ming bai le 	明白了	c=2 d=1.30882 t=3382
ming chao 	明朝	c=3 d=1 t=11430
ming cheng 	名稱	c=7 d=1.9873 t=42699
ming ci 	名詞	c=2 d=1 t=39988
ming hou 	明後	c=1 d=1 t=2462
ming ling 	命令	c=18 d=1.11648 t=42051
ming ling hang 	命令行	c=4 d=1 t=33297
ming ming 	命名	c=2 d=1 t=33524
ming ni su da 	明尼蘇達	c=1 d=1 t=25152
ming que 	明確	c=1 d=1 t=16766
ming tian 	明天	c=40 d=1 t=43049
ming wan 	明晚	c=1 d=1 t=30480
ming xian 	明顯	c=3 d=1.00006 t=39933
ming zao 	明早	c=1 d=1 t=40366
ming zi 	名字	c=14 d=1.02625 t=43499
mo 	莫	c=1 d=1 t=34997
mo ban 	模板	c=5 d=1.03143 t=29457
mo gui 	魔鬼	c=1 d=1 t=6897
mo huan 	魔幻	c=3 d=1.00013 t=19828
mo kuai 	模塊	c=28 d=1.00956 t=40499
mo kuai hua 	模塊化	c=1 d=1 t=29671
mo ming qi miao 	莫名其妙	c=2 d=1 t=13289
mo ni 	模擬	c=9 d=1 t=43709
mo ni qi 	模擬器	c=6 d=3.92141 t=25810
mo ren 	默認	c=25 d=1.07145 t=44000
mo ren zhi 	默認值	c=1 d=1 t=39421
mo shi 	模式	c=24 d=1 t=44310
mo te 	模特	c=1 d=1 t=31533
mo xing 	模型	c=95 d=16.184 t=42742
mo yu 	摸魚	c=1 d=1 t=43145
mou 	某	c=1 d=1 t=654
mou ge 	某個	c=10 d=1.00468 t=29021
mou xie 	某些	c=1 d=1 t=19711
mou zhong 	某種	c=1 d=1 t=39672
mu 	姆	c=7 d=1.00004 t=35661
mu ban 	母板	c=3 d=1.00027 t=22625
mu ben 	母本	c=1 d=1 t=3784
mu biao 	目標	c=3 d=1 t=29738
mu dai 	母帶	c=1 d=1 t=42172
mu di 	目的	c=2 d=1.11025 t=5286
mu lu 	目錄	c=55 d=2.14018 t=43969
mu lu xia 	目錄下	c=1 d=1 t=30319
